City,State,Wind Speed,Date
BIRMINGHAM,AL,6.9,2022-01-01
HUNTSVILLE,AL,8.3,2022-01-01
MOBILE,AL,8.5,2022-01-01
MONTGOMERY,AL,7.0,2022-01-01
ANCHORAGE,AK,6.3,2022-01-01
ANNETTE,AK,9.0,2022-01-01
BARROW,AK,12.7,2022-01-01
BETHEL,AK,14.1,2022-01-01
BETTLES,AK,4.6,2022-01-01
BIG DELTA,AK,12.0,2022-01-01
COLD BAY,AK,16.4,2022-01-01
FAIRBANKS,AK,2.4,2022-01-01
GULKANA,AK,3.0,2022-01-01
HOMER,AK,7.0,2022-01-01
JUNEAU,AK,7.3,2022-01-01
KING SALMON,AK,10.1,2022-01-01
KODIAK,AK,12.0,2022-01-01
KOTZEBUE,AK,12.0,2022-01-01
MCGRATH,AK,2.9,2022-01-01
NOME,AK,9.2,2022-01-01
TALKEETNA,AK,5.2,2022-01-01
VALDEZ,AK,7.0,2022-01-01
YAKUTAT,AK,5.7,2022-01-01
FLAGSTAFF,AZ,6.0,2022-01-01
PHOENIX,AZ,4.9,2022-01-01
TUCSON,AZ,7.1,2022-01-01
WINSLOW,AZ,6.1,2022-01-01
FORT SMITH,AR,7.7,2022-01-01
LITTLE ROCK,AR,7.7,2022-01-01
BAKERSFIELD,CA,4.9,2022-01-01
BISHOP,CA,7.1,2022-01-01
BLUE CANYON,CA,5.5,2022-01-01
FRESNO,CA,4.1,2022-01-01
LONG BEACH,CA,4.4,2022-01-01
LOS ANGELES,CA,1.4,2022-01-01
REDDING,CA,5.4,2022-01-01
SACRAMENTO,CA,5.0,2022-01-01
SAN DIEGO,CA,5.1,2022-01-01
SAN FRANCISCO,CA,6.8,2022-01-01
SANTA BARBARA,CA,4.3,2022-01-01
SANTA MARIA,CA,6.3,2022-01-01
STOCKTON,CA,6.0,2022-01-01
ALAMOSA,CO,5.2,2022-01-01
COLORADO SPRINGS,CO,8.8,2022-01-01
DENVER,CO,7.8,2022-01-01
GRAND JUNCTION,CO,5.3,2022-01-01
PUEBLO,CO,7.2,2022-01-01
BRIDGEPORT,CT,10.1,2022-01-01
HARTFORD,CT,8.3,2022-01-01
WILMINGTON,DE,9.2,2022-01-01
WASHINGTON DULLES,DC,7.8,2022-01-01
DAYTONA BEACH,FL,7.3,2022-01-01
FORT MYERS,FL,7.5,2022-01-01
GAINESVILLE,FL,6.4,2022-01-01
JACKSONVILLE,FL,7.0,2022-01-01
KEY WEST,FL,10.8,2022-01-01
MIAMI,FL,8.6,2022-01-01
ORLANDO,FL,8.3,2022-01-01
PENSACOLA,FL,8.6,2022-01-01
TALLAHASSEE,FL,5.8,2022-01-01
TAMPA,FL,7.2,2022-01-01
VERO BEACH,FL,8.5,2022-01-01
WEST PALM BEACH,FL,9.9,2022-01-01
ATHENS,GA,7.1,2022-01-01
ATLANTA,GA,9.3,2022-01-01
AUGUSTA,GA,6.1,2022-01-01
COLUMBUS,GA,6.5,2022-01-01
MACON,GA,6.6,2022-01-01
SAVANNAH,GA,7.3,2022-01-01
HILO,HI,6.9,2022-01-01
HONOLULU,HI,8.5,2022-01-01
KAHULUI,HI,10.6,2022-01-01
LIHUE,HI,11.9,2022-01-01
BOISE,ID,6.5,2022-01-01
LEWISTON,ID,6.4,2022-01-01
POCATELLO,ID,9.2,2022-01-01
CHICAGO,IL,11.1,2022-01-01
MOLINE,IL,9.7,2022-01-01
PEORIA,IL,9.4,2022-01-01
ROCKFORD,IL,10.0,2022-01-01
SPRINGFIELD,IL,10.9,2022-01-01
EVANSVILLE,IN,8.2,2022-01-01
FORT WAYNE,IN,11.0,2022-01-01
INDIANAPOLIS,IN,10.9,2022-01-01
SOUTH BEND,IN,10.8,2022-01-01
DES MOINES,IA,10.6,2022-01-01
DUBUQUE,IA,11.4,2022-01-01
SIOUX CITY,IA,11.1,2022-01-01
WATERLOO,IA,10.6,2022-01-01
CONCORDIA,KS,10.8,2022-01-01
DODGE CITY,KS,12.4,2022-01-01
GOODLAND,KS,11.9,2022-01-01
TOPEKA,KS,8.3,2022-01-01
WICHITA,KS,11.1,2022-01-01
JACKSON,KY,6.1,2022-01-01
LEXINGTON,KY,9.5,2022-01-01
LOUISVILLE,KY,9.0,2022-01-01
PADUCAH,KY,8.3,2022-01-01
BATON ROUGE,LA,7.2,2022-01-01
LAKE CHARLES,LA,8.7,2022-01-01
NEW ORLEANS,LA,9.1,2022-01-01
SHREVEPORT,LA,8.1,2022-01-01
CARIBOU,ME,8.4,2022-01-01
PORTLAND,ME,8.1,2022-01-01
BALTIMORE,MD,7.9,2022-01-01
BOSTON,MA,12.6,2022-01-01
WORCESTER,MA,11.4,2022-01-01
ALPENA,MI,8.3,2022-01-01
DETROIT,MI,11.0,2022-01-01
FLINT,MI,10.4,2022-01-01
GRAND RAPIDS,MI,10.8,2022-01-01
HOUGHTON LAKE,MI,8.7,2022-01-01
LANSING,MI,10.5,2022-01-01
MUSKEGON,MI,11.4,2022-01-01
DULUTH,MN,10.6,2022-01-01
INTERNATIONAL FALLS,MN,7.7,2022-01-01
ROCHESTER,MN,13.4,2022-01-01
SAINT CLOUD,MN,8.5,2022-01-01
JACKSON,MS,7.2,2022-01-01
MERIDIAN,MS,6.8,2022-01-01
TUPELO,MS,7.4,2022-01-01
COLUMBIA,MO,10.4,2022-01-01
KANSAS CITY,MO,10.9,2022-01-01
SPRINGFIELD,MO,10.1,2022-01-01
BILLINGS,MT,13.4,2022-01-01
GLASGOW,MT,9.5,2022-01-01
GREAT FALLS,MT,14.0,2022-01-01
HAVRE,MT,10.1,2022-01-01
HELENA,MT,5.7,2022-01-01
KALISPELL,MT,4.3,2022-01-01
MISSOULA,MT,4.0,2022-01-01
GRAND ISLAND,NE,11.2,2022-01-01
LINCOLN,NE,9.4,2022-01-01
NORFOLK,NE,11.0,2022-01-01
NORTH PLATTE,NE,8.5,2022-01-01
OMAHA,NE,10.3,2022-01-01
SCOTTSBLUFF,NE,9.9,2022-01-01
VALENTINE,NE,9.4,2022-01-01
ELKO,NV,4.8,2022-01-01
ELY,NV,9.0,2022-01-01
LAS VEGAS,NV,6.7,2022-01-01
RENO,NV,4.6,2022-01-01
WINNEMUCCA,NV,7.0,2022-01-01
CONCORD,NH,6.6,2022-01-01
ATLANTIC CITY,NJ,9.5,2022-01-01
NEWARK,NJ,10.7,2022-01-01
ALBUQUERQUE,NM,7.3,2022-01-01
CLAYTON,NM,11.6,2022-01-01
ROSWELL,NM,7.4,2022-01-01
ALBANY,NY,8.7,2022-01-01
BINGHAMTON,NY,9.8,2022-01-01
BUFFALO,NY,12.4,2022-01-01
ISLIP,NY,10.0,2022-01-01
NEW YORK JFK AP,NY,12.6,2022-01-01
ROCHESTER,NY,10.6,2022-01-01
SYRACUSE,NY,9.7,2022-01-01
ASHEVILLE,NC,8.5,2022-01-01
CAPE HATTERAS,NC,10.0,2022-01-01
CHARLOTTE,NC,6.6,2022-01-01
RALEIGH,NC,6.8,2022-01-01
WILMINGTON,NC,8.0,2022-01-01
BISMARCK,ND,9.2,2022-01-01
FARGO,ND,11.3,2022-01-01
GRAND FORKS,ND,11.0,2022-01-01
