Number,City,State,January,February,March,April,May,June,July,August,September,October,November,December
13876,BIRMINGHAM,AL,6.9,7.4,7.6,7.2,6.1,5.4,5.2,4.8,5.3,5.5,6,6.5
3856,HUNTSVILLE,AL,8.3,8.7,8.9,8.4,7.3,6.1,5.2,5.1,6,6.5,7.3,7.9
13894,MOBILE,AL,8.5,8.9,8.9,8.5,7.4,6.4,5.7,5.6,6.6,7,7.6,8.1
13895,MONTGOMERY,AL,7,7.3,7.2,6.5,5.5,5,4.8,4.6,5.4,5.4,5.8,6.5
26451,ANCHORAGE,AK,6.3,6.4,7,7.1,8.2,8,7.1,6.6,6.8,6.5,6.5,6.3
25308,ANNETTE,AK,9,8.5,8.7,8.2,7.3,7.2,6.4,6.5,6.9,8.2,8.9,9
27502,BARROW,AK,12.7,12.9,11.8,12,12.4,12,12.2,12.3,12.9,13.9,13.3,13.1
26615,BETHEL,AK,14.1,13.8,12.8,11.6,10.6,9.7,9.6,10.3,10.5,11.4,12.3,12.9
26533,BETTLES,AK,4.6,5,5.7,6.4,6.3,5.7,5.4,5,5.3,5.2,4.8,4.7
26415,BIG DELTA,AK,12,11.3,9.7,8.8,8.7,7.6,6.8,7,8.5,9.2,10.6,12.5
25624,COLD BAY,AK,16.4,17.4,16.4,16,15.5,14.9,14.6,15,15.8,16.1,17.1,17.2
26411,FAIRBANKS,AK,2.4,3,4.6,5.8,6.3,5.8,5.3,5,4.8,4,2.8,2.3
26425,GULKANA,AK,3,4,5.7,6.9,7.9,7.5,7,7,7,5,3.5,3.3
25507,HOMER,AK,7,7,7.2,7.4,7.4,7.2,6.5,6.2,6.5,6.6,6.9,7.3
25309,JUNEAU,AK,7.3,7.4,7.7,7.7,7.5,6.8,6.6,6.9,7.6,8.2,7.6,7.9
25503,KING SALMON,AK,10.1,10.5,10.2,10.1,9.9,9.1,8.6,8.8,9.4,9.4,9.6,9.7
25501,KODIAK,AK,12,11.9,12.2,11.6,10.4,9.3,7.9,8.5,9.6,10.9,12,12.4
26616,KOTZEBUE,AK,12,12.8,10.7,10.6,10.1,10.7,11.4,11.9,12.2,13,13.3,12.6
26510,MCGRATH,AK,2.9,3.7,4.9,5.7,6,5.3,4.9,4.8,4.9,4.5,3.4,2.8
26617,NOME,AK,9.2,10.3,8.7,8.8,8.9,8.9,9,9.5,10,9.5,10.4,10.2
26528,TALKEETNA,AK,5.2,5,5.2,4.4,4.6,4.6,4.1,3.4,3.3,3.7,4.8,4.9
26442,VALDEZ,AK,7,6.8,6.8,5.1,5.6,5.9,4.8,4.2,4.4,6.1,7.7,6.8
25339,YAKUTAT,AK,5.7,5.6,5.9,5.6,5.7,5.3,4.9,4.9,5.5,5.8,5.8,6.2
3103,FLAGSTAFF,AZ,6,6.6,6.8,7.8,7.5,7.1,5.1,4.4,5,5.7,6.1,6
23183,PHOENIX,AZ,4.9,5.6,6.3,7.1,7.1,6.9,7.4,6.8,6.2,5.5,4.9,4.7
