"eia_id","operator_name","net_gen_kwh"
"56291","FPL Energy Horse Hollow LLC",2513.4570000000000000
"56763","Capricorn Ridge Wind LLC",2259.4110000000000000
"59247","Hale Wind Energy",2083.6770000000000000
"60619","Public Service Co of Colorado",2024.3210000000000000
"57787","AE Power Services LLC",1775.1590000000000000
"61077","MidAmerican Energy Co",1704.0750000000000000
"58695","BHE Renewables, LLC",1552.4160000000000000
"58883","MidAmerican Energy Co",1518.4370000000000000
"56777","AE Power Services LLC",1369.5030000000000000
"57983","Stephens Ranch Wind Energy LLC",1358.6630000000000000
"61402","Foard City Wind, LLC",1302.2530000000000000
"62259","Ranchero Wind Farm LLC",1286.9430000000000000
"60987","BHE Renewables, LLC",1278.3850000000000000
"62038","Invenergy Services LLC",1262.7420000000000000
"61921","Tahoka Wind, LLC",1254.2330000000000000
"61079","MidAmerican Energy Co",1252.6230000000000000
"62133","MidAmerican Energy Co",1250.1660000000000000
"60414","Southern Power Co",1225.5750000000000000
"57501","MidAmerican Energy Co",1219.3730000000000000
"59292","Rattlesnake Creek Wind Project, LLC",1205.2130000000000000
"61984","Engie North America",1175.0190000000000000
"61789","Enel Green Power Diamond Vista Wind Project, LLC",1155.4770000000000000
"56485","Portland General Electric Co",1152.0890000000000000
"58766","Southern Power Co",1151.6000000000000000
"61969","Torrecillas Wind Energy, LLC",1141.3360000000000000
"58900","Balko Wind LLC",1140.1330000000000000
"59475","Palo Duro Wind",1138.9460000000000000
"61269","Thunder Ranch Wind Project, LLC",1123.9910000000000000
"58765","Invenergy Services LLC",1112.8910000000000000
"60689","Evergy Kansas Central, Inc",1109.6900000000000000
"58771","EDF Renewable Asset Holdings, Inc.",1099.2770000000000000
"60655","Enel Green Power NA, Inc.",1095.1040000000000000
"58098","Avangrid Renewables LLC",1077.1110000000000000
"60087","Onward Energy",1076.6930000000000000
"60342","MidAmerican Energy Co",1069.9900000000000000
"58902","Kingfisher Wind LLC",1066.8470000000000000
"62132","MidAmerican Energy Co",1060.5030000000000000
