"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"46","Browns Ferry","Tennessee Valley Authority","18642","AL","NUC",9501.8120000000000000
"46","Browns Ferry","Tennessee Valley Authority","18642","AL","NUC",10098.922000000000
"46","Browns Ferry","Tennessee Valley Authority","18642","AL","NUC",9174.1160000000000000
"47","Colbert","Tennessee Valley Authority","18642","AL","DFO",0.13400000000000000000
"47","Colbert","Tennessee Valley Authority","18642","AL","NG",2.8180000000000000
"48","Guntersville","Tennessee Valley Authority","18642","AL","HYC",940.9990000000000000
"49","Wheeler Dam","Tennessee Valley Authority","18642","AL","HYC",2290.0450000000000000
"71","Terror Lake Microgrid","Kodiak Electric Assn Inc","10433","AK","HYC",126.4190000000000000
"90","Snake River","Nome Joint Utility Systems","13642","AK","DFO",30.3070000000000000
"90","Snake River","Nome Joint Utility Systems","13642","AK","WND",2.3830000000000000
"99","Frederickson","Puget Sound Energy Inc","15500","WA","DFO",0.10200000000000000000
"99","Frederickson","Puget Sound Energy Inc","15500","WA","NG",28.9430000000000000
"161","Turlock Lake","Turlock Irrigation District","19281","CA","HYC",0.11000000000000000000
"162","Hickman","Turlock Irrigation District","19281","CA","HYC",3.6470000000000000
"399","Harbor","Los Angeles Department of Water & Power","11208","CA","ORW",0E-20
"400","Haynes","Los Angeles Department of Water & Power","11208","CA","DFO",0E-20
"294","Copco 1","PacifiCorp","14354","CA","HYC",70.2200000000000000
"295","Copco 2","PacifiCorp","14354","CA","HYC",86.6000000000000000
"296","Fall Creek","PacifiCorp","14354","CA","HYC",8.3160000000000000
"297","Iron Gate","PacifiCorp","14354","CA","HYC",82.3730000000000000
"299","Blundell","PacifiCorp","14354","UT","GEO",175.5700000000000000
"404","Scattergood","Los Angeles Department of Water & Power","11208","CA","OOG",0E-20
"371","Columbia Generating Station","Energy Northwest","20160","WA","NUC",9427.0500000000000000
"378","Prairie River","ALLETE, Inc.","12647","MN","HYC",2.3190000000000000
"391","Big Pine Creek","Los Angeles Department of Water & Power","11208","CA","HYC",9.2280000000000000
"392","Castaic","Los Angeles Department of Water & Power","11208","CA","HYC",0E-20
"392","Castaic","Los Angeles Department of Water & Power","11208","CA","HPS",274.2730000000000000
"393","Control Gorge","Los Angeles Department of Water & Power","11208","CA","HYC",46.5840000000000000
"394","Cottonwood","Los Angeles Department of Water & Power","11208","CA","HYC",0.19500000000000000000
"396","Foothill","Los Angeles Department of Water & Power","11208","CA","HYC",0.01600000000000000000
"397","Franklin (CA)","Los Angeles Department of Water & Power","11208","CA","HYC",0E-20
"398","Haiwee","Los Angeles Department of Water & Power","11208","CA","HYC",0E-20
"399","Harbor","Los Angeles Department of Water & Power","11208","CA","DFO",0E-20
