,Onshore wind energy,Offshore wind energy,RE share of electricity capacity (%),RE share of electricity generation (%)
2000,5650,0,10.69,8.15
2001,6806,0,11.08,6.74
2002,10459,0,10.5,8.59
2003,11300,0,10.11,8.83
2004,14291,0,9.93,8.57
2005,17881,0,10.03,8.53
2006,26676,0,10.29,9.19
2007,34603,0,10.82,8.32
2008,55696,0,11.51,8.95
2009,74226,0,12.41,10.24
2010,95148,0,13.25,10.06
2011,120854,0,13.91,12.16
2012,141922,0,15.39,11.95
2013,169713,0,16.06,12.58
2014,183891.9,0.1,16.81,12.92
2015,192991.825,0.175,18.24,13.17
2016,229368.333,102.667,19.88,14.74
2017,257146.405,102.667,20.96,16.75
2018,275731.801,102.667,22.04,16.68
2019,298097.453,102.667,23.5,17.47
2020,341673.568,144.715,25.67,19.42
2021,382669.282,144.715,27.75,19.8
