City,State,Wind Speed,Date
BIRMINGHAM,AL,6.9,1/1/2022
HUNTSVILLE,AL,8.3,1/1/2022
MOBILE,AL,8.5,1/1/2022
MONTGOMERY,AL,7,1/1/2022
ANCHORAGE,AK,6.3,1/1/2022
ANNETTE,AK,9,1/1/2022
BARROW,AK,12.7,1/1/2022
BETHEL,AK,14.1,1/1/2022
BETTLES,AK,4.6,1/1/2022
BIG DELTA,AK,12,1/1/2022
COLD BAY,AK,16.4,1/1/2022
FAIRBANKS,AK,2.4,1/1/2022
GULKANA,AK,3,1/1/2022
HOMER,AK,7,1/1/2022
JUNEAU,AK,7.3,1/1/2022
KING SALMON,AK,10.1,1/1/2022
KODIAK,AK,12,1/1/2022
KOTZEBUE,AK,12,1/1/2022
MCGRATH,AK,2.9,1/1/2022
NOME,AK,9.2,1/1/2022
TALKEETNA,AK,5.2,1/1/2022
VALDEZ,AK,7,1/1/2022
YAKUTAT,AK,5.7,1/1/2022
FLAGSTAFF,AZ,6,1/1/2022
PHOENIX,AZ,4.9,1/1/2022
TUCSON,AZ,7.1,1/1/2022
WINSLOW,AZ,6.1,1/1/2022
FORT SMITH,AR,7.7,1/1/2022
LITTLE ROCK,AR,7.7,1/1/2022
BAKERSFIELD,CA,4.9,1/1/2022
BISHOP,CA,7.1,1/1/2022
BLUE CANYON,CA,5.5,1/1/2022
FRESNO,CA,4.1,1/1/2022
LONG BEACH,CA,4.4,1/1/2022
LOS ANGELES,CA,1.4,1/1/2022
REDDING,CA,5.4,1/1/2022
SACRAMENTO,CA,5,1/1/2022
SAN DIEGO,CA,5.1,1/1/2022
SAN FRANCISCO,CA,6.8,1/1/2022
SANTA BARBARA,CA,4.3,1/1/2022
SANTA MARIA,CA,6.3,1/1/2022
STOCKTON,CA,6,1/1/2022
ALAMOSA,CO,5.2,1/1/2022
COLORADO SPRINGS,CO,8.8,1/1/2022
DENVER,CO,7.8,1/1/2022
GRAND JUNCTION,CO,5.3,1/1/2022
PUEBLO,CO,7.2,1/1/2022
BRIDGEPORT,CT,10.1,1/1/2022
HARTFORD,CT,8.3,1/1/2022
WILMINGTON,DE,9.2,1/1/2022
WASHINGTON DULLES,DC,7.8,1/1/2022
DAYTONA BEACH,FL,7.3,1/1/2022
FORT MYERS,FL,7.5,1/1/2022
GAINESVILLE,FL,6.4,1/1/2022
JACKSONVILLE,FL,7,1/1/2022
KEY WEST,FL,10.8,1/1/2022
MIAMI,FL,8.6,1/1/2022
ORLANDO,FL,8.3,1/1/2022
PENSACOLA,FL,8.6,1/1/2022
TALLAHASSEE,FL,5.8,1/1/2022
TAMPA,FL,7.2,1/1/2022
VERO BEACH,FL,8.5,1/1/2022
WEST PALM BEACH,FL,9.9,1/1/2022
ATHENS,GA,7.1,1/1/2022
ATLANTA,GA,9.3,1/1/2022
AUGUSTA,GA,6.1,1/1/2022
COLUMBUS,GA,6.5,1/1/2022
MACON,GA,6.6,1/1/2022
SAVANNAH,GA,7.3,1/1/2022
HILO,HI,6.9,1/1/2022
HONOLULU,HI,8.5,1/1/2022
KAHULUI,HI,10.6,1/1/2022
LIHUE,HI,11.9,1/1/2022
BOISE,ID,6.5,1/1/2022
LEWISTON,ID,6.4,1/1/2022
POCATELLO,ID,9.2,1/1/2022
CHICAGO,IL,11.1,1/1/2022
MOLINE,IL,9.7,1/1/2022
PEORIA,IL,9.4,1/1/2022
ROCKFORD,IL,10,1/1/2022
SPRINGFIELD,IL,10.9,1/1/2022
