"t_state","p_year","total_cap"
"AK",1997,0.9
"AK",1999,1.975
"AK",2000,0.2
"AK",2001,24
"AK",2002,0.1
"AK",2003,1.95
"AK",2004,0.71
"AK",2006,1.35
"AK",2007,1.35
"AK",2008,15.025
"AK",2009,18.8
"AK",2010,4.3
"AK",2011,1.6
"AK",2012,510.675
"AK",2013,4.5
"AK",2014,NULL
"AK",2015,NULL
"AK",2018,0.9
"AK",2019,0.9
"AR",2003,0.1
"AZ",2009,1890
"AZ",2010,2018.1
"AZ",2011,50
"AZ",2012,6051.2
"AZ",2015,450
"AZ",2020,44049.6
"CA",1981,NULL
"CA",1982,3624.166
"CA",1983,12960
"CA",1984,1818.14
"CA",1985,9924.605
"CA",1986,1739.1
"CA",1987,5185.29
"CA",1988,2758.86
"CA",1989,24408.0
"CA",1990,31
"CA",1991,0.225
"CA",1992,31
"CA",1994,194.2
"CA",1995,189.0
"CA",1996,NULL
"CA",1997,4508.09
"CA",1998,1.35
"CA",1999,6826.425
"CA",2001,7192.8
"CA",2002,5064.49
"CA",2003,15514.02
"CA",2004,720.77
"CA",2005,3411.35
"CA",2006,17498
"CA",2007,1323
"CA",2008,2687
"CA",2009,20939.225
"CA",2010,26343.1
"CA",2011,43721.8
"CA",2012,113178.92
"CA",2013,11727.13
"CA",2014,3008.4
"CA",2015,7558.2
"CA",2016,93
"CA",2017,877.7
"CA",2018,17926.95
"CA",2019,4983.5
"CA",2020,1947
"CA",2021,4497.45
"CA",NULL,34
"CO",1999,614.1
"CO",2001,1128.6
"CO",2003,17496
"CO",2004,21.0
"CO",2005,0.05
"CO",2006,2400
"CO",2007,193020.5
"CO",2008,0.9
"CO",2009,14132.5
"CO",2010,1735.8
"CO",2011,65382.5
"CO",2012,53283.2
"CO",2013,365.2
"CO",2014,25770.8
"CO",2015,49149.2
"CO",2016,2069.24
"CO",2017,2700
"CO",2018,99600
"CO",2019,1603.8
"CO",2020,156156.72
"CO",2021,2600
"CO",NULL,21.3
"CT",2010,0.1
"CT",2015,10
"DE",2010,2
"FL",2013,NULL
"GU",2016,0.275
"HI",2006,768.96
"HI",2007,294
"HI",2011,360
"HI",2012,2556
"HI",2013,NULL
"HI",2015,NULL
"HI",2017,16.5
"HI",2020,220.8
"IA",1992,1
"IA",1995,0.065
"IA",1997,2.4
"IA",1998,6.75
"IA",1999,24550.2
"IA",2001,7130.8
"IA",2002,14807.854
"IA",2003,1263.57
"IA",2004,17175.0
"IA",2005,16452.31
"IA",2006,6534.45
"IA",2007,14640.22
"IA",2008,129687.18
"IA",2009,70695.55
"IA",2010,7.1
"IA",2011,93013.9
"IA",2012,42453.43
"IA",2013,848.35
"IA",2014,41406.89
"IA",2015,104650.08
"IA",2016,75994.53
"IA",2017,28307.47
"IA",2018,61235.33
"IA",2019,200603.64
"IA",2020,71882.3
"IA",2021,11704
"IA",NULL,NULL
"ID",2005,2847.0
"ID",2009,1251.6
"ID",2010,11393.4
"ID",2011,5869.9
"ID",2012,17704.2
"IL",2004,0.66
"IL",2005,763.95
"IL",2007,57720.0
"IL",2008,9995.7
"IL",2009,56021.37
"IL",2010,71136.2
"IL",2011,70569.05
"IL",2012,89031.535
"IL",2015,22837.9
"IL",2016,16928
"IL",2017,42506.2
"IL",2018,42951.3
"IL",2019,29779.965
"IL",2020,64094.48
"IL",2021,NULL
"IL",NULL,NULL
"IN",2008,11353.55
"IN",2009,145175.75
"IN",2010,18316.4
"IN",2011,0.9
"IN",2012,25002.7
"IN",2013,0.9
"IN",2014,20000.85
"IN",2015,9717.5
"IN",2017,11703.2
"IN",2018,12224.4
"IN",2020,70463.28
"IN",2021,8910
"IN",NULL,NULL
"KS",2001,19074.0
"KS",2005,15000
"KS",2006,6733.5
"KS",2008,27093.3
"KS",2009,7267
"KS",2010,1661.818
"KS",2011,22177.8
"KS",2012,213777.9
"KS",2013,33728.25
"KS",2014,NULL
"KS",2015,75625.0
"KS",2016,72178.67
"KS",2017,63856.0
"KS",2018,54271.55
"KS",2019,40147.41
"KS",2020,77137.77
"KS",2021,41839
"KS",NULL,NULL
"MA",2001,0.66
"MA",2005,0.1
"MA",2006,2.46
"MA",2007,1.5
"MA",2008,1.3
"MA",2009,17.5
"MA",2010,6.35
"MA",2011,165.7
"MA",2012,587.25
"MA",2013,6.72
"MA",2014,0.6
"MA",2016,32
"MA",2017,1.5
"MA",2019,19.2
"MD",2010,1960.9
"MD",2011,1000
"MD",2014,640
"MD",2015,360
"MD",2017,0.75
"ME",2006,63
"ME",2007,702
"ME",2008,13.5
"ME",2009,3632.1
"ME",2010,1885.9
"ME",2011,3713.2
"ME",2012,649.8
"ME",2014,25.65
"ME",2015,7315.65
"ME",2016,11818.5
"ME",2017,182.4
"ME",2020,1597.2
"ME",2021,NULL
"MI",1996,0.6
"MI",2001,3.6
"MI",2008,4873.6
"MI",2009,98
"MI",2010,207.5
"MI",2011,10951.4
"MI",2012,31049.8
"MI",2013,9208.9
"MI",2014,19270.36
"MI",2016,1941.6
"MI",2017,13629.45
"MI",2018,830.3
"MI",2019,13916.4
"MI",2020,25796.58
"MI",2021,62123.52
"MI",NULL,NULL
"MN",1997,0.23
"MN",1998,14907.75
"MN",1999,383.34
"MN",2000,213.84
"MN",2001,408.54
"MN",2002,119.6
"MN",2003,7745.25
"MN",2004,225.45
"MN",2005,6852.8
"MN",2006,4630.05
"MN",2007,40241.25
